bank_id,debt_mln,bank_name,report_month
1,78448.954,REGN 1,2023-06
53,7531.989,REGN 53,2023-06
67,2177.079,REGN 67,2023-06
77,10630.534,REGN 77,2023-06
101,12148.436,REGN 101,2023-06
106,59.708,REGN 106,2023-06
121,3312.423,ПРОМСВЯЗЬБАНК,2023-06
212,303.608,REGN 212,2023-06
249,9344.958,REGN 249,2023-06
254,7690.069,REGN 254,2023-06
256,286.351,REGN 256,2023-06
316,23469.824,REGN 316,2023-06
328,238764.558,РОСЭКСИМБАНК,2023-06
330,640.81,REGN 330,2023-06
354,1304228.783,ГАЗПРОМБАНК,2023-06
356,4313.03,REGN 356,2023-06
415,46713.64,REGN 415,2023-06
429,11673.304,REGN 429,2023-06
435,2876.072,REGN 435,2023-06
436,133157.064,БАНК «САНКТ-ПЕТЕРБУРГ»,2023-06
438,147.863,REGN 438,2023-06
478,328.962,REGN 478,2023-06
481,152.733,REGN 481,2023-06
485,18343.213,REGN 485,2023-06
492,50.557,REGN 492,2023-06
493,13480.119,REGN 493,2023-06
538,182.803,REGN 538,2023-06
554,18777.843,REGN 554,2023-06
567,5975.662,REGN 567,2023-06
575,235.36,REGN 575,2023-06
588,5786.697999999999,REGN 588,2023-06
600,9392.635,REGN 600,2023-06
604,1454.309,REGN 604,2023-06
609,1071.645,REGN 609,2023-06
646,1204.952,REGN 646,2023-06
702,4937.034,REGN 702,2023-06
705,50760.268,КРЕДИТ ЕВРОПА БАНК,2023-06
708,536.469,REGN 708,2023-06
760,845.021,REGN 760,2023-06
783,421.288,REGN 783,2023-06
843,14662.396,REGN 843,2023-06
902,4723.542,REGN 902,2023-06
903,782.27,REGN 903,2023-06
963,466035.748,ЮНИКРЕДИТ БАНК,2023-06
965,75.492,REGN 965,2023-06
990,199.964,REGN 990,2023-06
1000,4304398.408,ВТБ,2023-06
1049,370.559,ХАКАССКИЙ МУНИЦИПАЛЬНЫЙ БАНК,2023-06
1067,1284.92,РЕАЛИСТ,2023-06
1143,3155.23,ФРИДОМ ФИНАНС,2023-06
1158,1727.9789999999998,КУЗНЕЦКБИЗНЕСБАНК,2023-06
1281,624.178,АРЗАМАС,2023-06
1288,276.505,СТАВРОПОЛЬПРОМСТРОЙБАНК,2023-06
1291,4.094,ВАКОБАНК,2023-06
1307,6069.344,ЭНЕРГОТРАНСБАНК,2023-06
1319,15957.707,ЭКОНОМБАНК,2023-06
1326,703031.916,АЛЬФА-БАНК,2023-06
1329,1985.98,СОЛИД БАНК,2023-06
1343,8306.726,ЛЕВОБЕРЕЖНЫЙ,2023-06
1352,3103.128,НОВОБАНК,2023-06
1354,50145.197,РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК,2023-06
1370,843.2650000000001,УРАЛФИНАНС,2023-06
1376,4988.475,СНЕЖИНСКИЙ,2023-06
1455,100.801,АВТОГРАДБАНК,2023-06
1481,6489729.172,СБЕРБАНК РОССИИ,2023-06
1557,14901.764,ВУЗ-БАНК,2023-06
1573,6934.792,РОСДОРБАНК,2023-06
1581,19750.029,ТИМЕР БАНК,2023-06
1637,45311.784,СДМ-БАНК,2023-06
1659,24.619,БАНК ОРАНЖЕВЫЙ,2023-06
