date,срок_лет,доходность_пct
29.05.2026,0.25,13.6
29.05.2026,0.5,13.18
29.05.2026,0.75,13.0
29.05.2026,1.0,12.96
29.05.2026,2.0,13.33
29.05.2026,3.0,13.8
29.05.2026,5.0,14.42
29.05.2026,7.0,14.72
29.05.2026,10.0,14.89
29.05.2026,15.0,14.99
29.05.2026,20.0,15.04
29.05.2026,30.0,15.13
28.05.2026,0.25,13.43
28.05.2026,0.5,12.98
28.05.2026,0.75,12.8
28.05.2026,1.0,12.78
28.05.2026,2.0,13.23
28.05.2026,3.0,13.74
28.05.2026,5.0,14.37
28.05.2026,7.0,14.67
28.05.2026,10.0,14.83
28.05.2026,15.0,14.91
28.05.2026,20.0,14.96
28.05.2026,30.0,15.07
27.05.2026,0.25,13.69
27.05.2026,0.5,13.23
27.05.2026,0.75,13.02
27.05.2026,1.0,12.97
27.05.2026,2.0,13.32
27.05.2026,3.0,13.79
27.05.2026,5.0,14.41
27.05.2026,7.0,14.71
27.05.2026,10.0,14.88
27.05.2026,15.0,14.94
27.05.2026,20.0,14.99
27.05.2026,30.0,15.09
26.05.2026,0.25,13.71
26.05.2026,0.5,13.2
26.05.2026,0.75,13.0
26.05.2026,1.0,12.96
26.05.2026,2.0,13.39
26.05.2026,3.0,13.86
26.05.2026,5.0,14.44
26.05.2026,7.0,14.71
26.05.2026,10.0,14.87
26.05.2026,15.0,14.93
26.05.2026,20.0,14.96
26.05.2026,30.0,15.05
25.05.2026,0.25,13.88
25.05.2026,0.5,13.34
25.05.2026,0.75,13.1
25.05.2026,1.0,13.04
25.05.2026,2.0,13.4
25.05.2026,3.0,13.86
25.05.2026,5.0,14.44
25.05.2026,7.0,14.71
25.05.2026,10.0,14.85
25.05.2026,15.0,14.9
25.05.2026,20.0,14.93
25.05.2026,30.0,15.02
22.05.2026,0.25,13.77
22.05.2026,0.5,13.26
22.05.2026,0.75,13.03
22.05.2026,1.0,12.96
22.05.2026,2.0,13.28
22.05.2026,3.0,13.74
22.05.2026,5.0,14.34
22.05.2026,7.0,14.62
22.05.2026,10.0,14.78
22.05.2026,15.0,14.85
22.05.2026,20.0,14.89
22.05.2026,30.0,14.99
21.05.2026,0.25,13.7
21.05.2026,0.5,13.21
21.05.2026,0.75,12.98
21.05.2026,1.0,12.9
21.05.2026,2.0,13.23
21.05.2026,3.0,13.7
21.05.2026,5.0,14.31
21.05.2026,7.0,14.59
21.05.2026,10.0,14.73
21.05.2026,15.0,14.8
21.05.2026,20.0,14.85
21.05.2026,30.0,14.94
20.05.2026,0.25,13.67
20.05.2026,0.5,13.2
20.05.2026,0.75,12.96
20.05.2026,1.0,12.87
20.05.2026,2.0,13.15
20.05.2026,3.0,13.63
20.05.2026,5.0,14.3
20.05.2026,7.0,14.63
20.05.2026,10.0,14.79
20.05.2026,15.0,14.87
20.05.2026,20.0,14.92
20.05.2026,30.0,15.01
19.05.2026,0.25,13.69
19.05.2026,0.5,13.25
19.05.2026,0.75,13.03
19.05.2026,1.0,12.96
19.05.2026,2.0,13.25
19.05.2026,3.0,13.7
19.05.2026,5.0,14.33
19.05.2026,7.0,14.64
19.05.2026,10.0,14.81
19.05.2026,15.0,14.89
19.05.2026,20.0,14.94
19.05.2026,30.0,15.06
18.05.2026,0.25,13.43
18.05.2026,0.5,13.06
18.05.2026,0.75,12.87
18.05.2026,1.0,12.81
18.05.2026,2.0,13.09
18.05.2026,3.0,13.55
18.05.2026,5.0,14.25
18.05.2026,7.0,14.61
18.05.2026,10.0,14.81
18.05.2026,15.0,14.9
18.05.2026,20.0,14.95
18.05.2026,30.0,15.07
15.05.2026,0.25,13.33
15.05.2026,0.5,13.0
15.05.2026,0.75,12.84
15.05.2026,1.0,12.81
