date,price_pct,price_rub
2024-01-03,66.5,665.0
2024-01-04,66.7,667.0
2024-01-05,66.581,665.8100000000001
2024-01-08,66.423,664.23
2024-01-09,66.16,661.5999999999999
2024-01-10,65.949,659.49
2024-01-11,65.329,653.29
2024-01-12,64.995,649.95
2024-01-15,65.22,652.2
2024-01-16,65.35,653.5
2024-01-17,65.74,657.4
2024-01-18,66.281,662.8100000000001
2024-01-19,66.4,664.0
2024-01-22,66.497,664.9699999999999
2024-01-23,66.55,665.5
2024-01-24,66.4,664.0
2024-01-25,66.495,664.95
2024-01-26,66.6,665.9999999999999
2024-01-29,66.5,665.0
2024-01-30,66.445,664.4499999999999
2024-01-31,66.499,664.99
2024-02-01,66.35,663.5
2024-02-02,66.03,660.3
2024-02-05,65.903,659.03
2024-02-06,65.932,659.32
2024-02-07,65.85,658.5
2024-02-08,65.555,655.5500000000001
2024-02-09,65.501,655.0100000000001
2024-02-12,65.57,655.6999999999999
2024-02-13,65.569,655.6899999999999
2024-02-14,65.51,655.1
2024-02-15,65.246,652.4599999999999
2024-02-16,64.6,645.9999999999999
2024-02-19,64.6,645.9999999999999
2024-02-20,64.7,647.0
2024-02-21,64.5,645.0
2024-02-22,64.639,646.3899999999999
2024-02-26,64.628,646.28
2024-02-27,64.41,644.1
2024-02-28,64.4,644.0
2024-02-29,64.2,642.0
2024-03-01,64.248,642.48
2024-03-04,63.6,636.0
2024-03-05,63.08,630.8000000000001
2024-03-06,62.757,627.5699999999999
2024-03-07,62.5,625.0
2024-03-11,62.619,626.19
2024-03-12,62.449,624.49
2024-03-13,62.04,620.4
2024-03-14,61.69,616.9
2024-03-15,61.22,612.1999999999999
2024-03-18,60.57,605.7
2024-03-19,60.651,606.51
2024-03-20,60.209,602.09
2024-03-21,60.414,604.14
2024-03-22,60.399,603.99
2024-03-25,60.431,604.3100000000001
2024-03-26,60.349,603.49
2024-03-27,60.928,609.28
2024-03-28,60.7,607.0
2024-03-29,60.26,602.6
2024-04-01,60.0,600.0
2024-04-02,60.226,602.26
2024-04-03,59.939,599.39
2024-04-04,59.768,597.68
2024-04-05,59.4,594.0
2024-04-08,59.212,592.12
2024-04-09,59.332,593.3199999999999
2024-04-10,59.27,592.7
2024-04-11,58.914,589.14
2024-04-12,59.07,590.7
2024-04-15,59.2,592.0000000000001
2024-04-16,59.198,591.9799999999999
2024-04-17,59.693,596.93
2024-04-18,59.789,597.89
2024-04-19,60.497,604.97
2024-04-22,60.35,603.5
2024-04-23,60.17,601.7
2024-04-24,60.2,602.0
2024-04-25,60.036,600.36
2024-04-26,59.18,591.8
2024-04-27,59.29,592.9
2024-04-29,59.443,594.4300000000001
2024-04-30,59.228,592.28
2024-05-02,58.96,589.6
2024-05-03,58.7,587.0000000000001
2024-05-06,58.59,585.9000000000001
2024-05-07,58.692,586.92
2024-05-08,58.75,587.5
2024-05-10,58.89,588.9
2024-05-13,58.145,581.45
2024-05-14,57.483,574.8299999999999
2024-05-15,57.68,576.8
2024-05-16,57.61,576.0999999999999
